Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
6,-2.975557,0.754388,1.639841,-1.474467,0.236958,0.006879,0.146148,0.000486,136.214784
6,-2.961066,0.739831,1.638431,-1.458656,0.224198,-0.011157,0.146042,0.000374,136.165511
6,-2.9657,0.757577,1.635108,-1.458706,0.188659,-0.003128,0.146037,0.000399,136.16329
6,-2.976463,0.726394,1.644992,-1.464444,0.199621,-0.003007,0.146028,0.000449,136.159228
7,-4.5059,0.927603,2.515215,-1.955135,0.095894,-0.212102,0.145995,0.000757,136.143558
7,-4.5055,0.927037,2.513024,-1.963178,0.116646,-0.209472,0.145998,0.000658,136.145089
7,-4.506094,0.947239,2.513502,-1.96172,0.099061,-0.204468,0.145873,0.000552,136.086664
7,-4.497083,0.926006,2.507814,-1.955664,0.092114,-0.207339,0.145808,0.000473,136.05641
7,-4.495838,0.932642,2.501727,-1.955975,0.106293,-0.203705,0.145837,0.000471,136.070106
7,-4.499658,0.935112,2.513947,-1.956941,0.100441,-0.211137,0.145833,0.000389,136.068299
7,-4.506605,0.927131,2.510659,-1.961273,0.117249,-0.20846,0.145817,0.000422,136.060768
7,-4.500914,0.949686,2.509165,-1.959583,0.106441,-0.204731,0.145844,0.000605,136.073285
7,-4.505827,0.940163,2.512774,-1.969103,0.103947,-0.210052,0.14593,0.000667,136.113314
7,-4.517826,0.941752,2.521981,-1.963536,0.09643,-0.205814,0.146004,0.000697,136.147891
7,-4.508103,0.965078,2.509172,-1.961764,0.090903,-0.206207,0.14616,0.000748,136.220699
7,-4.499679,0.938485,2.497012,-1.953683,0.10661,-0.20691,0.146231,0.000682,136.253556
7,-4.504407,0.946665,2.502599,-1.96534,0.086252,-0.206313,0.146115,0.000474,136.199585
7,-4.4961,0.950165,2.506477,-1.957643,0.093726,-0.209488,0.145946,0.000434,136.120851
7,-4.499619,0.950812,2.495783,-1.956716,0.095702,-0.199706,0.145891,0.000337,136.095066
7,-4.512003,0.958719,2.507932,-1.961534,0.106644,-0.206802,0.145749,0.000565,136.02904
7,-4.50856,0.952011,2.509431,-1.957855,0.117531,-0.210173,0.145996,0.000855,136.14409
7,-4.507788,0.956225,2.50981,-1.961588,0.133351,-0.205672,0.146115,0.000713,136.199489
7,-4.501367,0.945955,2.49692,-1.961132,0.088896,-0.20591,0.145989,0.000569,136.141065
7,-4.501003,0.948819,2.50583,-1.966929,0.114192,-0.209048,0.145633,0.000312,135.974519
7,-4.511519,0.951697,2.514995,-1.964683,0.133338,-0.210598,0.145673,0.000546,135.993202
8,-5.539829,1.36114,3.094346,-2.701457,0.113639,-0.435075,0.147035,0.000656,136.627897
8,-5.524974,1.373008,3.084111,-2.688805,0.0911,-0.436132,0.146935,0.000416,136.581005
8,-5.529225,1.371327,3.091802,-2.68705,0.097455,-0.437983,0.146735,0.000393,136.488311
8,-5.538784,1.351348,3.084638,-2.701891,0.096688,-0.439999,0.146619,0.000561,136.43439
8,-5.5326,1.360722,3.086826,-2.696833,0.104627,-0.43639,0.146664,0.000594,136.455097
